Title,Movie ID,Genre,Production Company,Budget,Revenue,Overview,Release Date
Good Luck Chuck,10030,Comedy,Milestone Entertainment,25000000,59192128,"Cursed since childhood, dentist Charlie Kagan cannot find the right woman. Even worse, he learns that each of his ex-girlfriends finds true love with the man she meets after her relationship with him ends. Hearing of Charlie's reputation as a good-luck charm, women from all over line up for a quick tryst. But when Charlie meets the woman of his dreams, he must find a way to break the curse or risk losing her to the next man she meets.",2007-09-21
Funny Games,8461,Crime,Warner Independent Pictures (WIP),15000000,7938872,"When Ann, husband George and son Georgie arrive at their holiday home they are visited by a pair of polite and seemingly pleasant young men. Armed with deceptively sweet smiles and some golf clubs, they proceed to terrorize and torture the tight-knit clan, giving them until the next day to survive.",2007-10-20
Code Name: The Cleaner,14396,Action,New Line Cinema,20000000,10337477,"Cedric the Entertainer plays Jake, a seemingly regular guy who has no idea who he is after being hit over the head by mysterious assailants. When he finds himself entangled in a government conspiracy, Jake and his pursuers become convinced that he is an undercover agent.",2007-01-05
Sukiyaki Western Django,13637,Adventure,Sony Music Entertainment Japan,3800000,2725258,"Several hundred years after the Battle of Dannoura, the Genji and Heike clans face off again in a poor mountain town with a buried treasure legend. A revolver-wielding stranger, a lone gunman, burdened with emotional scars and blessed with incredible skill, drifts into town and crosses paths with two warring clans who are both on the hunt for a hidden treasure in a remote western town. Knowing his services are valuable to either side, he offers himself to the clan who will offer up the largest share of the wealth.  Yoshitsune commands his Genji gang in white while Kiyomori leads his Heike gang in red. Expectations collide as the key players wonder which gang the gunman will join. Dirty tricks, betrayal, desire and finally, love, get jumbled together, as the situation erupts into a showdown.",2007-09-15
Lars and the Real Girl,6615,Comedy,Sidney Kimmel Entertainment,12000000,11293663,"Sometimes you find love where you'd least expect it. Just ask Lars, a sweet but quirky guy who thinks he's found the girl of his dreams in a life-sized doll named Bianca. Lars is completely content with his artificial girlfriend, but when he develops feelings for Margo, an attractive co-worker, Lars finds himself lost in a unique love triangle, hoping to somehow discover the real meaning of true love.",2007-10-12
The Heartbreak Kid,9038,Comedy,Conundrum Entertainment,60000000,127766650,"Eddie, the 40-year-old confirmed bachelor finally says ""I do"" to the beautiful and sexy Lila. But during their honeymoon in Mexico, the woman of his dreams turns out to be a total nightmare, and the guy who could never pull the trigger realizes he’s jumped the gun.",2007-10-05
P2,13474,Horror,Summit Entertainment,8000000,7766240,"Angela, a corporate climber, gets stuck working late on Christmas Eve and finds herself the target of an unhinged security guard. With no help in sight, the woman must overcome physical and psychological challenges to survive.",2007-11-09
Meet Bill,13243,Comedy,Eclipse Catering,5000000,346592,A mild-mannered bank executive (Aaron Eckhart) mentors a teenage con artist and tries to make a career change as a doughnut merchant.,2007-09-07
Dead Silence,14001,Horror,Evolution Entertainment,20000000,22217407,"Jamie returns to his hometown in search of answers to his wife's murder, which occurred after receiving a weird package containing a ventriloquist dummy named Billy, which may be linked to the legend of ventriloquist Mary Shaw. Destined to find out the truth, Jamie goes to the town of Raven's Fair, where Shaw used to perform and is buried. But Jamie is in for more than he expected.",2007-03-16
Jab We Met,11807,Drama,Shree Ashtavinayak Cine Vision,2300000,4600000,"Depressed after the passing of his father, Dharamraj; as well as his gorgeous girlfriend ditching him, Mumbai-based businessman Aditya Kashyap takes a BEST bus, goes to Chatrapati Shivaji Train Terminus, and boards a train. This is where he meets Geet Kaur Dhillon, who is returning home to Bhatinda, and who pays for his ticket. At Bar Nagar, he decides to leave, but she follows him, missing her train. They manage to get a ride to Ratlam, miss the train again, but eventually make it to Bhatinda. Once there, he gets to meet her family; her pretty sister, Roop; as well as her to-be betrothed, Manjeet Singh Mann. Before the engagement could be finalized, she manages to convince her family that she wants to marry Aditya, and they welcome him with open arms. Before he could take stock of these new developments, she elopes with him - not to get married - but to re-locate to Manali - where her true love, Anshuman, is waiting, and who she hopes to get married to.",2007-10-26
The Game Plan,13680,Comedy,Monkey Dance Productions,22000000,147880543,"Bachelor football star Joe Kingman seems to have it all. He is wealthy and carefree, and his team is on the way to capturing a championship. Suddenly, he is tackled by some unexpected news: He has a young daughter, the result of a last fling with his ex-wife. Joe must learn to balance his personal and professional lives with the needs of his child.",2007-09-28
Sydney White,10760,Comedy,Clifford Werber Productions,16500000,13620075,A modern retelling of Snow White set against students in their freshman year of college in the greek system.,2007-09-21
The Fall,14784,Adventure,Absolute Entertainment,30000000,3669465,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story about 5 mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality starts to blur as the tale advances.",2007-02-10
Battle for Terra,16873,Action,MeniThings LLC,4000000,6101046,"A peaceful alien planet faces annihilation, as the homeless remainder of the human race sets its eyes on Terra. Mala, a rebellious Terrian teenager, will do everything she can to stop it.",2007-09-06
In the Land of Women,13067,Romance,Castle Rock Entertainment,10000000,17500000,"After a bad breakup with his girlfriend leaves him heartbroken, Carter Webb moves to Michigan to take care of his ailing grandmother. Once there, he gets mixed up in the lives of the mother and daughters who live across the street.",2007-04-16
Transformers,1858,Adventure,Hasbro Studios,150000000,709709780,"Young teenager, Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it.",2007-06-27
The Nanny Diaries,12435,Comedy,FilmColony,20000000,47738099,"A college graduate goes to work as a nanny for a rich New York family. Ensconced in their home, she has to juggle their dysfunction, a new romance, and the spoiled brat in her charge.",2007-08-24
Mongol: The Rise of Genghis Khan,12246,History,Kinokompaniya CTB,18000000,26527510,"The story recounts the early life of Genghis Khan, a slave who went on to conquer half the world in the 11th century.",2007-09-20
The Diving Bell and the Butterfly,2013,Drama,Pathé Renn Productions,14000000,19777647,"The true story of Elle France editor Jean-Dominique Bauby, who, in 1995 at the age of 43, suffered a stroke that paralyzed his entire body, except his left eye. Using that eye to blink out his memoir, Bauby eloquently described the aspects of his interior world, from the psychological torment of being trapped inside his body to his imagined stories from lands he'd only visited in his mind.",2007-05-22
Halloween,2082,Horror,Dimension Films,15000000,80253908,"After being committed for 17 years, Michael Myers, now a grown man and still very dangerous, escapes from the mental institution (where he was committed as a 10 year old) and he immediately returns to Haddonfield, where he wants to find his baby sister, Laurie. Anyone who crosses his path is in mortal danger",2007-08-31
Captivity,14125,Crime,Captivity Productions,17000000,2626800,"The sought-after images of top model, Jennifer, adorn magazine covers and billboards worldwide. When alone at a charity event, she is abducted and incarcerated in a cell with another prisoner. When their captor subjects the two to torture, and commit to escaping the chamber of horrors before they're killed.",2007-03-09
Sicko,2359,Documentary,The Weinstein Company,9000000,24538513,"Sicko is a Michael Moore documentary about the corrupt health care system in The United States who's main goal is to make profit even if it means losing peoples lives. ""The more people you deny health insurance the more money we make"" is the business model for health care providers in America.",2007-05-18
Walk Hard: The Dewey Cox Story,6575,Comedy,Apatow Productions,35000000,18317151,Singer Dewey Cox overcomes adversity to become a musical legend.,2007-12-21
Mr. Brooks,3432,Drama,Tig Productions,20000000,41637263,A psychological thriller about a man who is sometimes controlled by his murder-and-mayhem-loving alter ego.,2007-06-01
"Run, Fatboy, Run",7942,Comedy,Entertainment Films,10000000,33000000,"Five years after jilting his pregnant fiancée on their wedding day, out-of-shape Dennis decides to run a marathon to win her back.",2007-09-06
Michael Clayton,4566,Drama,Castle Rock Entertainment,25000000,92991835,A law firm brings in its 'fixer' to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multi-billion dollar class action suit.,2007-09-28
Things We Lost in the Fire,3877,Drama,Neal Street Productions,16000000,2849142,"A recent widow invites her husband's troubled best friend to live with her and her two children. As he gradually turns his life around, he helps the family cope and confront their loss.",2007-09-26
Freedom Writers,1646,Crime,Double Feature Films,21000000,41170784,"A young teacher inspires her class of at-risk students to learn tolerance, apply themselves, and pursue education beyond high school.",2007-01-05
Twilight,8966,Adventure,Twilight Productions,37000000,392616625,"When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she starts school and meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't help but fall in love with him, a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the Cullen clan.",2008-11-20
